FID,Entity,GRID_ID,longitude,latitude
406,LWPolyline,"6,65",72.82959651,33.75807994
407,LWPolyline,"6,64",72.82962941,33.75807954
408,LWPolyline,"6,63",72.8296623,33.75807913
409,LWPolyline,"6,62",72.82969519,33.75807872
410,LWPolyline,"6,61",72.82972809,33.75807832
411,LWPolyline,"6,60",72.82976098,33.75807791
412,LWPolyline,"6,59",72.82979387,33.75807751
413,LWPolyline,"6,58",72.82982676,33.7580771
414,LWPolyline,"6,57",72.82985966,33.75807669
415,LWPolyline,"6,56",72.82989255,33.75807629
416,LWPolyline,"6,55",72.82992544,33.75807588
417,LWPolyline,"6,54",72.82995833,33.75807548
418,LWPolyline,"6,53",72.82999123,33.75807507
419,LWPolyline,"6,52",72.83002412,33.75807466
420,LWPolyline,"6,51",72.83005701,33.75807426
421,LWPolyline,"6,50",72.83008991,33.75807385
422,LWPolyline,"6,49",72.8301228,33.75807345
423,LWPolyline,"6,48",72.83015569,33.75807304
424,LWPolyline,"6,47",72.83018858,33.75807263
425,LWPolyline,"6,46",72.83022148,33.75807223
426,LWPolyline,"6,45",72.83025437,33.75807182
427,LWPolyline,"6,44",72.83028726,33.75807141
428,LWPolyline,"6,43",72.83032015,33.75807101
429,LWPolyline,"6,42",72.83035305,33.7580706
430,LWPolyline,"6,41",72.83038594,33.7580702
431,LWPolyline,"6,40",72.83041883,33.75806979
432,LWPolyline,"6,39",72.83045173,33.75806938
433,LWPolyline,"6,38",72.83048462,33.75806898
434,LWPolyline,"6,37",72.83051751,33.75806857
435,LWPolyline,"6,36",72.8305504,33.75806816
436,LWPolyline,"6,35",72.8305833,33.75806776
437,LWPolyline,"6,34",72.83061619,33.75806735
438,LWPolyline,"7,106",72.82824743,33.75806911
439,LWPolyline,"7,105",72.82828032,33.7580687
440,LWPolyline,"7,104",72.82831321,33.7580683
441,LWPolyline,"7,103",72.82834611,33.75806789
442,LWPolyline,"7,102",72.828379,33.75806748
443,LWPolyline,"7,101",72.82841189,33.75806708
444,LWPolyline,"7,100",72.82844478,33.75806667
445,LWPolyline,"7,99",72.82847768,33.75806627
446,LWPolyline,"7,98",72.82851057,33.75806586
447,LWPolyline,"7,97",72.82854346,33.75806546
448,LWPolyline,"7,96",72.82857635,33.75806505
449,LWPolyline,"7,95",72.82860925,33.75806464
450,LWPolyline,"7,94",72.82864214,33.75806424
451,LWPolyline,"7,93",72.82867503,33.75806383
452,LWPolyline,"7,92",72.82870793,33.75806343
453,LWPolyline,"7,91",72.82874082,33.75806302
454,LWPolyline,"7,90",72.82877371,33.75806262
455,LWPolyline,"7,89",72.8288066,33.75806221
456,LWPolyline,"7,88",72.8288395,33.7580618
457,LWPolyline,"7,87",72.82887239,33.7580614
458,LWPolyline,"7,86",72.82890528,33.75806099
459,LWPolyline,"7,85",72.82893818,33.75806059
460,LWPolyline,"7,84",72.82897107,33.75806018
461,LWPolyline,"7,83",72.82900396,33.75805978
462,LWPolyline,"7,82",72.82903685,33.75805937
463,LWPolyline,"7,81",72.82906975,33.75805896
464,LWPolyline,"7,80",72.82910264,33.75805856
465,LWPolyline,"7,79",72.82913553,33.75805815
466,LWPolyline,"7,78",72.82916842,33.75805775
467,LWPolyline,"7,77",72.82920132,33.75805734
468,LWPolyline,"7,76",72.82923421,33.75805693
469,LWPolyline,"7,75",72.8292671,33.75805653
470,LWPolyline,"7,74",72.82929999,33.75805612
471,LWPolyline,"7,73",72.82933289,33.75805572
472,LWPolyline,"7,72",72.82936578,33.75805531
473,LWPolyline,"7,71",72.82939867,33.7580549
474,LWPolyline,"7,70",72.82943157,33.7580545
475,LWPolyline,"7,69",72.82946446,33.75805409
476,LWPolyline,"7,68",72.82949735,33.75805369
477,LWPolyline,"7,67",72.82953024,33.75805328
478,LWPolyline,"7,66",72.82956314,33.75805287
479,LWPolyline,"7,65",72.82959603,33.75805247
480,LWPolyline,"7,64",72.82962892,33.75805206
481,LWPolyline,"7,63",72.82966181,33.75805166
482,LWPolyline,"7,62",72.82969471,33.75805125
483,LWPolyline,"7,61",72.8297276,33.75805084
484,LWPolyline,"7,60",72.82976049,33.75805044
